,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Comment,Name,Repository,URL / DAG_ID,Type,Type Details,Optional,Base branch,Responsible (internal),Responsible (community),API Spec,Documentation,Postman Collection,Storage,SQL,Datastore,Elasticsearch,Image prefix,Container Name / Path to storage,Version variable
,Manifest Ingestion DAG,https://community.opengroup.org/osdu/platform/data-flow/ingestion/ingestion-dags,Osdu_ingest,dag,dataflow,optional,master,Yan,,,,Postman%20Collection/29_CICD_Setup_Ingestion/Manifest_Based_Ingestion_Osdu_ingest_CI-CD_v2.0.postman_collection.json,,,,,,"dags/ingestion-dags/manifest_ingestion.py,dags/ingestion-dags/osdu-ingest-r3.py",
,Manifest ingestion by reference DAG,https://community.opengroup.org/osdu/platform/data-flow/ingestion/ingestion-dags/-/blob/master/src/osdu_dags/osdu-ingest-r3-by-reference.py?ref_type=heads,Osdu_ingest_by_reference,dag,dataflow,optional,master,,,,,"Postman%20Collection/47_CICD_IngestionByReference/IngestByRefTest_2Master_records.json,Postman%20Collection/47_CICD_IngestionByReference/IngestByRefTest_2Reference_records.json,Postman%20Collection/47_CICD_IngestionByReference/IngestByRefTest_WPC_record.json,Postman%20Collection/47_CICD_IngestionByReference/Ingestion%20By%20Reference%20CI-CD%20v3.0.postman_collection.json",,,,,,dags/manifest-by-reference/osdu-ingest-r3-by-reference.py,
,WITSML parser DAG,https://community.opengroup.org/osdu/platform/data-flow/ingestion/energistics-osdu-integration,,dag,dataflow,optional,master,Yan,,,,,,,,,,dags/energistics/witsml_parser_dag.py,witsml_parser_version
,Segy to Zgy Conversion DAG,https://community.opengroup.org/osdu/platform/data-flow/ingestion/segy-to-zgy-conversion,Segy_to_zgy_conversion,dag,dataflow,optional,master,Yan,,,https://community.opengroup.org/osdu/platform/data-flow/ingestion/segy-to-zgy-conversion/-/blob/master/doc/gcp/QUICKSTART.md,Postman%20Collection/42_CICD_SEGY_ZGY_Conversion/SegyToZgyConversion%20Workflow%20using%20SeisStore%20R3%20CI-CD%20v1.0.postman_collection.json,,,,,,dags/segy-to-zgy/segy_to_zgy_ingestion_dag.py,segy_to_zgy_version
,Segy to Vds DAG,https://community.opengroup.org/osdu/platform/data-flow/ingestion/segy-to-vds-conversion,segy_to_vds_ssdms_DAG_name,dag,dataflow,optional,master,Yan,,,https://community.opengroup.org/osdu/platform/data-flow/ingestion/segy-to-vds-conversion/-/blob/master/docs/gcp/QUICKSTART.md,"Postman%20Collection/40_CICD_SEGY_OpenVDS_Conversion/SegyToOpenVDS%20conversion%20using%20Seisstore%20CI-CD%20v1.0.postman_collection_NotRun.json,Postman%20Collection/46_CICD_SEGY_OpenVDS_Conversion_ManualStorageRecordsCreation/SegyToOpenVDS%20conversion%20using%20Seisstore%20CI-CD%20v1.0.postman_collection.json",,,,,,dags/segy-to-vds/segy_to_vds_ssdms_conversion_dag.py,
,EDS Ingest DAG,https://community.opengroup.org/osdu/platform/data-flow/ingestion/external-data-sources/core-external-data-workflow,eds_ingest,dag,dataflow,optional,master,Yan,Sheng Pu Teo,,https://osdu.pages.opengroup.org/platform/data-flow/ingestion/osdu-airflow-lib/,,,,,,,dags/eds/src_dags_fetch_ingest_scheduler_dag.py,
,EDS Scheduller DAG,https://community.opengroup.org/osdu/platform/data-flow/ingestion/external-data-sources/core-external-data-workflow,eds_scheduler,dag,dataflow,optional,master,Yan,Sheng Pu Teo,,https://osdu.pages.opengroup.org/platform/data-flow/ingestion/osdu-airflow-lib/,,,,,,,dags/eds/eds_scheduler_dag.py,
,EDS Naturalization DAG,https://community.opengroup.org/osdu/platform/data-flow/ingestion/external-data-sources/core-external-data-workflow,eds_naturalization,dag,dataflow,optional,master,Yan,Sheng Pu Teo,,https://osdu.pages.opengroup.org/platform/data-flow/ingestion/osdu-airflow-lib/,,,,,,,dags/eds/naturalization_dataset_dag.py,
,Segy to MDIO DAG,https://community.opengroup.org/osdu/platform/data-flow/ingestion/segy-to-mdio-conversion-dag,segy_to_mdio_conversion,dag,dataflow,optional,master,Yan,,,,Dev/51_CICD_SegyToMdio_Conversion/51_CICD_SegyToMdio%20conversion%20using%20Seismicstore%20v1.0.postman_collection.json,,,,,,dags/segy-to-mdio/segy_to_mdio_conversion_dag.py,segy_to_mdio_version
,WITSML Parser v2,https://community.opengroup.org/osdu/platform/data-flow/ingestion/energistics/witsml-parser-v2,,dag,,optional,main,Yan,,,,Postman%20Collection/41_CICD_Setup_WITSMLIngestion/WITSML%20Energistics%20XML%20Ingest%20CI-CD%20v3.0.postman_collection.json,,,,,,,
